gender,name,variant,base_name,usage_note,declension,genitive,patr_old_m,patr_old_f,patr_m,patr_f,source
М,Авенир,Венир,,,"-а, м.; разг. Венир, -а.",Авенира,Авениров,Авенирова,Авенирович,Авенировна,Словарь русских личных имен Петровского
Ж,Авенира,,,,"-ы, ж.",Авениры,,,,,Словарь русских личных имен Петровского
М,Авентин,,,Стар. редк.,"-а, м. Стар. редк.",Авентина,Авентинов,Авентинова,Авентинович,Авентиновна,Словарь русских личных имен Петровского
Ж,Авентина,,,,"-ы, ж.",Авентины,,,,,Словарь русских личных имен Петровского
М,Аверий,,Аверкий,Разг.,"-я, м. Разг. к Аверкий (см.).",Аверия,Авериев,Авериева,Аверкиевич,Аверкиевна,(для варианта целевого современного отчества)
М,Аверий,,,,,,Аверьев,Аверьева,Аверьевич,Аверьевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Аверий,,Аверкий,Разг.,"-я, м. Разг. к Аверкий (см.).",Аверия,Авериев,Авериева,Аверьевич,Аверьевна,Словарь русских личных имен Петровского
М,Аверкий,Аверьян,,,"-я, м.; разг. Аверьян, -а и Аверий, -я.",Аверкия,Аверкиев,Аверкиева,Аверкиевич,Аверкиевна,Словарь русских личных имен Петровского
М,Аверьян,,Аверкий,Разг.,"-а, м. Разг. к Аверкий (см.).",Аверьяна,Аверьянов,Аверьянова,Аверкиевич,Аверкиевна,(для варианта целевого современного отчества)
М,Аверьян,,Аверкий,Разг.,"-а, м. Разг. к Аверкий (см.).",Аверьяна,Аверьянов,Аверьянова,Аверьянович,Аверьяновна,Словарь русских личных имен Петровского
Ж,Авиафа,,,Стар. редк.,"-ы, ж. Стар. редк.",Авиафы,,,,,Словарь русских личных имен Петровского
М,Авив,,,Стар. редк.,"-а, м. Стар. редк.",Авива,Авивов,Авивова,Авивович,Авивовна,Словарь русских личных имен Петровского
Ж,Авива,,,,"-ы, ж.",Авивы,,,,,Словарь русских личных имен Петровского
М,Авид,,,Стар. редк.,"-а, м. Стар. редк.",Авида,Авидов,Авидова,Авидович,Авидовна,Словарь русских личных имен Петровского
М,Авим,,,Стар. редк.,"-а, м. Стар. редк.",Авима,Авимов,Авимова,Авимович,Авимовна,Словарь русских личных имен Петровского
Ж,Авия,Абия,,Редк.,"-и, ж. Редк.; стар. Абия, -и.",Авии,,,,,Словарь русских личных имен Петровского
М,Авксентий,,,,,,Авксентьев,Авксентьева,Авксентиевич,Авксентиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Авксентий,Аксен,,,"-я, м.; разг. Аксён, -а и Аксентий, -я; прост. Акентий, -я.",Авксентия,Авксентиев,Авксентиева,Авксентиевич,Авксентиевна,Словарь русских личных имен Петровского
М,Авкт,,,Стар. редк.,"-а, м. Стар. редк.",Авкта,Авктов,Авктова,Авктович,Авктовна,Словарь русских личных имен Петровского
М,Авраам,Абрам,,Стар. редк.,"-а, м. Стар. редк.; разг. Абрам, -а.",Авраама,Авраамов,Авраамова,Авраамович,Авраамовна,Словарь русских личных имен Петровского
М,Авраамий,,,,,,Авраамьев,Авраамьева,Авраамиевич,Авраамиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Авраамий,Абрамий,,Стар. редк.,"-я, м. Стар. редк.; разг. Абрамий, -я.",Авраамия,Авраамиев,Авраамиева,Авраамиевич,Авраамиевна,Словарь русских личных имен Петровского
М,Аврам,Аврамий,,,"-а, м.; стар. Аврамий, -я.",Аврама,Аврамов,Аврамова,Аврамович,Аврамовна,Словарь русских личных имен Петровского
М,Аврамий,,Аврам,Стар. форма имени,"-я, м. Стар. форма имени Аврам (см.).",Аврамия,Аврамиев,Аврамиева,Аврамович,Аврамовна,(для варианта целевого современного отчества)
М,Аврамий,,,,,,Аврамьев,Аврамьева,Аврамиевич,Аврамиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Аврамий,,Аврам,Стар. форма имени,"-я, м. Стар. форма имени Аврам (см.).",Аврамия,Аврамиев,Аврамиева,Аврамиевич,Аврамиевна,Словарь русских личных имен Петровского
М,Аврелиан,,,Стар. редк.,"-а, м. Стар. редк.",Аврелиана,Аврелианов,Аврелианова,Аврелианович,Аврелиановна,Словарь русских личных имен Петровского
М,Аврелий,,,,,,Аврельев,Аврельева,Аврелиевич,Аврелиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Аврелий,,,Стар. редк.,"-я, м. Стар. редк.",Аврелия,Аврелиев,Аврелиева,Аврелиевич,Аврелиевна,Словарь русских личных имен Петровского
Ж,Аврелия,,,,"-и, ж.",Аврелии,,,,,Словарь русских личных имен Петровского
Ж,Аврея,,,Стар. редк.,"-и, ж. Стар. редк.",Авреи,,,,,Словарь русских личных имен Петровского
Ж,Аврора,,,Заимств.,"-ы, ж. Заимств.",Авроры,,,,,Словарь русских личных имен Петровского
М,Авсей,Абсей,,Редк.,"-я, м. Редк.; стар. Абсей, -я.",Авсея,Авсеев,Авсеева,Авсеевич,Авсеевна,Словарь русских личных имен Петровского
М,Автоном,,,,"-а, м.",Автонома,Автономов,Автономова,Автономович,Автономовна,Словарь русских личных имен Петровского
М,Авудим,,,Стар. редк.,"-а, м. Стар. редк.",Авудима,Авудимов,Авудимова,Авудимович,Авудимовна,Словарь русских личных имен Петровского
М,Авундий,,,Стар. редк.,"-я, м. Стар. редк.",Авундия,Авундиев,Авундиева,Авундиевич,Авундиевна,Словарь русских личных имен Петровского
М,Агав,,,Стар. редк.,"-а, м. Стар. редк.",Агава,Агавов,Агавова,Агавович,Агавовна,Словарь русских личных имен Петровского
М,Агавва,,,Стар. редк.,"-ы, м. Стар. редк.",Агаввы,Агаввин,Агаввина,Агаввич,Агаввична,Словарь русских личных имен Петровского
М,Агап,,Агапит,Разг.,"-а, м. Разг. к Агапит (см.).",Агапа,Агапов,Агапова,Агапитович,Агапитовна,(для варианта целевого современного отчества)
М,Агап,,Агапит,Разг.,"-а, м. Разг. к Агапит (см.).",Агапа,Агапов,Агапова,Агапович,Агаповна,Словарь русских личных имен Петровского
М,Агап,Агапей,,,"-а, м.; прост. Агапей, -я; стар. Агапий, -я.",Агапа,Агапов,Агапова,Агапович,Агаповна,Словарь русских личных имен Петровского
Ж,Агапа,,,Стар. редк.,"-ы, ж. Стар. редк.",Агапы,,,,,Словарь русских личных имен Петровского
М,Агапий,,Агап,Стар. форма имени,"-я, м. Стар. форма имени Агап 1 (см.).",Агапия,Агапиев,Агапиева,Агапович,Агаповна,(для варианта целевого современного отчества)
М,Агапий,,,,,,Агапьев,Агапьева,Агапиевич,Агапиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Агапий,,Агап,Стар. форма имени,"-я, м. Стар. форма имени Агап 1 (см.).",Агапия,Агапиев,Агапиева,Агапиевич,Агапиевна,Словарь русских личных имен Петровского
М,Агапион,,,Стар. редк.,"-а, м. Стар. редк.",Агапиона,Агапионов,Агапионова,Агапионович,Агапионовна,Словарь русских личных имен Петровского
М,Агапит,Агап,,Стар. редк.,"-а, м. Стар. редк.; разг. Агап 2, -а.",Агапита,Агапитов,Агапитова,Агапитович,Агапитовна,Словарь русских личных имен Петровского
Ж,Агапия,Анапея,,Стар. редк.,"-и, ж. Стар. редк.; прост. Агапея, -и.",Агапии,,,,,Словарь русских личных имен Петровского
Ж,Агата,,,Заимств.,"-ы, ж. Заимств.",Агаты,,,,,Словарь русских личных имен Петровского
Ж,Агафа,,,Стар. редк.,"-ы, ж. Стар. редк.",Агафы,,,,,Словарь русских личных имен Петровского
М,Агафангел,,,Стар. редк.,"-а, м. Стар. редк.",Агафангела,Агафангелов,Агафангелова,Агафангелович,Агафангеловна,Словарь русских личных имен Петровского
Ж,Агафия,,Агафья,Вариант,"-и, ж. См. Агафья.",Агафии,,,,,Словарь русских личных имен Петровского
М,Агафодор,,,Стар. редк.,"-а, м. Стар. редк.",Агафодора,Агафодоров,Агафодорова,Агафодорович,Агафодоровна,Словарь русских личных имен Петровского
Ж,Агафоклия,,,Стар. редк.,"-и, ж. Стар. редк.",Агафоклии,,,,,Словарь русских личных имен Петровского
М,Агафон,Агапон,,,"-а, м.; прост. Агапон, -а.",Агафона,Агафонов,Агафонова,Агафонович,Агафоновна,Словарь русских личных имен Петровского
М,Агафоник,,,Стар. редк.,"-а, м. Стар. редк.",Агафоника,Агафоников,Агафоникова,Агафоникович,Агафониковна,Словарь русских личных имен Петровского
Ж,Агафоника,,,Стар. редк.,"-и, ж. Стар. редк.",Агафоники,,,,,Словарь русских личных имен Петровского
Ж,Агафья,Агафия,,,"-и, ж. и реже Агафия, -и.",Агафьи,,,,,Словарь русских личных имен Петровского
М,Аггей,Агей,,,"-я, м.; разг. Агей, -я.",Аггея,Аггеев,Аггеева,Аггеевич,Аггеевна,Словарь русских личных имен Петровского
М,Аггел,,Ангел,Вариант,"-а, м. См. Ангел.",Аггела,Аггелов,Аггелова,Ангелович,Ангеловна,(для варианта целевого современного отчества)
М,Аггел,,Ангел,Вариант,"-а, м. См. Ангел.",Аггела,Аггелов,Аггелова,Аггелович,Аггеловна,Словарь русских личных имен Петровского
М,Агей,,Аггей,Разг.,"-я, м. Разг. к Аггей (см.).",Агея,Агеев,Агеева,Аггеевич,Аггеевна,(для варианта целевого современного отчества)
М,Агей,,Аггей,Разг.,"-я, м. Разг. к Аггей (см.).",Агея,Агеев,Агеева,Агеевич,Агеевна,Словарь русских личных имен Петровского
Ж,Аглаида,,,,"-ы, ж.",Аглаиды,,,,,Словарь русских личных имен Петровского
