gender,name,variant,base_name,usage_note,declension,genitive,patr_old_m,patr_old_f,patr_m,patr_f,source
Ж,Влада,,,Слав.,"-ы, ж. Слав.",Влады,,,,,Словарь русских личных имен Петровского
М,Владилен,,,Нов.,"-а, м. Нов.",Владилена,Владиленов,Владиленова,Владиленович,Владиленовна,Словарь русских личных имен Петровского
Ж,Владилена,,,Нов.,"-ы, ж. Нов.",Владилены,,,,,Словарь русских личных имен Петровского
М,Владимир,,,Слав.,"-а, м. Слав.",Владимира,Владимиров,Владимирова,Владимирович,Владимировна,Словарь русских личных имен Петровского
Ж,Владимира,,,Слав.,"-ы, ж. Слав.",Владимиры,,,,,Словарь русских личных имен Петровского
М,Владислав,,,Слав.,"-а, м. Слав.",Владислава,Владиславов,Владиславова,Владиславович,Владиславовна,Словарь русских личных имен Петровского
Ж,Владислава,,,Слав.,"-ы, ж. Слав.",Владиславы,,,,,Словарь русских личных имен Петровского
М,Владлен,,,Нов.,"-а, м. Нов.",Владлена,Владленов,Владленова,Владленович,Владленовна,Словарь русских личных имен Петровского
Ж,Владлена,,,Нов.,"-ы, ж. Нов.",Владлены,,,,,Словарь русских личных имен Петровского
М,Влас,Власий,,,"-а, м.; стар. Власий, -я.",Власа,Власов,Власова,Власович,Власовна,Словарь русских личных имен Петровского
М,Власий,,Влас,Стар. форма имени,"-я, м. Стар. форма имени Влас (см.).",Власия,Власиев,Власиева,Власович,Власовна,(для варианта целевого современного отчества)
М,Власий,,,,,,Власьев,Власьева,Власиевич,Власиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Власий,,Влас,Стар. форма имени,"-я, м. Стар. форма имени Влас (см.).",Власия,Власиев,Власиева,Власиевич,Власиевна,Словарь русских личных имен Петровского
М,Воислав,,,Слав. редк.,"-а, м. Слав. редк.",Воислава,Воиславов,Воиславова,Воиславович,Воиславовна,Словарь русских личных имен Петровского
Ж,Воислава,,,Слав. редк.,"-ы, ж. Слав. редк.",Воиславы,,,,,Словарь русских личных имен Петровского
М,Володарь,,,Ст.-русск. редк.,"-я, м. Ст.-русск. редк.",Володаря,Володарев,Володарева,Володарьевич,Володарьевна,Словарь русских личных имен Петровского
Ж,Воля,,,Нов.,"-и, ж. Нов.",Воли,,,,,Словарь русских личных имен Петровского
М,Вонифат,,Вонифатий,Разг.,"-а, м. Разг. к Вонифатий (см.).",Вонифата,Вонифатов,Вонифатова,Вонифатиевич,Вонифатиевна,(для варианта целевого современного отчества)
М,Вонифат,,Вонифатий,Разг.,"-а, м. Разг. к Вонифатий (см.).",Вонифата,Вонифатов,Вонифатова,Вонифатович,Вонифатовна,Словарь русских личных имен Петровского
М,Вонифатий,,,,,,Вонифатьев,Вонифатьева,Вонифатиевич,Вонифатиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Вонифатий,Вонифат,,,"-я, м.; разг. Вонифат, -а.",Вонифатия,Вонифатиев,Вонифатиева,Вонифатиевич,Вонифатиевна,Словарь русских личных имен Петровского
М,Всеволод,,,Ст.-русск.,"-а, м. Ст.-русск.",Всеволода,Всеволодов,Всеволодова,Всеволодович,Всеволодовна,Словарь русских личных имен Петровского
М,Всемил,,,Слав. редк.,"-а, м. Слав. редк.",Всемила,Всемилов,Всемилова,Всемилович,Всемиловна,Словарь русских личных имен Петровского
Ж,Всемила,,,Слав. редк.,"-ы, ж. Слав. редк.",Всемилы,,,,,Словарь русских личных имен Петровского
М,Всеслав,,,Слав. редк.,"-а, м. Слав. редк.",Всеслава,Всеславов,Всеславова,Всеславович,Всеславовна,Словарь русских личных имен Петровского
Ж,Всеслава,,,Слав. редк.,"-ы, ж. Слав. редк.",Всеславы,,,,,Словарь русских личных имен Петровского
М,Вукол,Викул,,,"-а, м.; разг. Викул, -а и Викула, -ы; прост. Укол, -а.",Вукола,Вуколов,Вуколова,Вуколович,Вуколовна,Словарь русских личных имен Петровского
М,Вышеслав,,,Слав. редк.,"-а, м. Слав. редк.",Вышеслава,Вышеславов,Вышеславова,Вышеславович,Вышеславовна,Словарь русских личных имен Петровского
М,Вячеслав,Вечеслав,,Ст.-русск.,"-а, м. Ст.-русск.; стар. Вечеслав, -а.",Вячеслава,Вячеславов,Вячеславова,Вячеславович,Вячеславовна,Словарь русских личных имен Петровского
Ж,Гаафа,,,Стар. редк.,"-ы, ж. Стар. редк.",Гаафы,,,,,Словарь русских личных имен Петровского
М,Гаведдай,,,Стар. редк.,"-я, м. Стар. редк.",Гаведдая,Гаведдаев,Гаведдаева,Гаведдаевич,Гаведдаевна,Словарь русских личных имен Петровского
М,Гавриил,Гаврила,,,"-а, м.; разг. Гаврил, -а и Гаврила, -ы; стар. разг. Гаврило, -ы.",Гавриила,Гавриилов,Гавриилова,Гавриилович,Гаврииловна,Словарь русских личных имен Петровского
М,Гаврил,,Гавриил,Разг.,"-а, м. Разг. к Гавриил (см.).",Гаврила,Гаврилов,Гаврилова,Гавриилович,Гаврииловна,(для варианта целевого современного отчества)
М,Гаврил,,Гавриил,Разг.,"-а, м. Разг. к Гавриил (см.).",Гаврила,Гаврилов,Гаврилова,Гаврилович,Гавриловна,Словарь русских личных имен Петровского
М,Гаврила,,Гавриил,Разг.,"-ы, м. Разг. к Гавриил (см.).",Гаврилы,Гаврилин,Гаврилина,Гавриилович,Гаврииловна,(для варианта целевого современного отчества)
М,Гаврила,,Гавриил,Разг.,"-ы, м. Разг. к Гавриил (см.).",Гаврилы,Гаврилин,Гаврилина,Гаврилович,Гавриловна,Словарь русских личных имен Петровского
М,Гаврило,,Гавриил,Разг.,"-ы, м. Стар. разг. к Гавриил (см.).",Гаврилы,Гаврилин,Гаврилина,Гавриилович,Гаврииловна,(для варианта целевого современного отчества)
М,Гаврило,,Гавриил,Разг.,"-ы, м. Стар. разг. к Гавриил (см.).",Гаврилы,Гаврилин,Гаврилина,Гаврилович,Гавриловна,Словарь русских личных имен Петровского
М,Гаган,,,Стар. редк.,"-а, м. Стар. редк.",Гагана,Гаганов,Гаганова,Гаганович,Гагановна,Словарь русских личных имен Петровского
М,Гаиан,,Гаян,Стар. форма имени,"-а, м. Стар. форма имени Гаян (см.).",Гаиана,Гаианов,Гаианова,Гаянович,Гаяновна,(для варианта целевого современного отчества)
М,Гаиан,,Гаян,Стар. форма имени,"-а, м. Стар. форма имени Гаян (см.).",Гаиана,Гаианов,Гаианова,Гаианович,Гаиановна,Словарь русских личных имен Петровского
Ж,Гаиания,,Гаяния,Стар.,"-и, ж. Стар. форма имени Гаяния (см.).",Гаиании,,,,,Словарь русских личных имен Петровского
М,Гаий,,Гай,Стар. форма имени,"-я, м. Стар. форма имени Гай (см.).",Гаия,Гаиев,Гаиева,Гаевич,Гаевна,(для варианта целевого современного отчества)
М,Гаий,,Гай,Стар. форма имени,"-я, м. Стар. форма имени Гай (см.).",Гаия,Гаиев,Гаиева,Гаиевич,Гаиевна,Словарь русских личных имен Петровского
Ж,Гаия,,Гая,Стар.,"-и, ж. Стар. форма имени Гая (см.).",Гаии,,,,,Словарь русских личных имен Петровского
М,Гай,Гаий,,,"-я, м.; стар. Гаий, -я.",Гая,Гаев,Гаева,Гаевич,Гаевна,Словарь русских личных имен Петровского
Ж,Гала,,,Стар. редк.,"-ы, ж. Стар. редк.",Галы,,,,,Словарь русских личных имен Петровского
М,Галактион,Лактион,,,"-а, м.; прост. Лактион, -а.",Галактиона,Галактионов,Галактионова,Галактионович,Галактионовна,Словарь русских личных имен Петровского
М,Галасий,,Геласий,Разг.,"-я, м. Разг. к Геласий (см.).",Галасия,Галасиев,Галасиева,Геласиевич,Геласиевна,(для варианта целевого современного отчества)
М,Галасий,,,,,,Галасьев,Галасьева,Галасиевич,Галасиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Галасий,,Геласий,Разг.,"-я, м. Разг. к Геласий (см.).",Галасия,Галасиев,Галасиева,Галасиевич,Галасиевна,Словарь русских личных имен Петровского
Ж,Галата,,,Стар. редк.,"-ы, ж. Стар. редк.",Галаты,,,,,Словарь русских личных имен Петровского
Ж,Галатея,,,Заимств.,"-и, ж. Заимств.",Галатеи,,,,,Словарь русских личных имен Петровского
М,Галатиан,,,Стар. редк.,"-а, м. Стар. редк.",Галатиана,Галатианов,Галатианова,Галатианович,Галатиановна,Словарь русских личных имен Петровского
М,Галик,,,Стар. редк.,"-а, м. Стар. редк.",Галика,Галиков,Галикова,Галикович,Галиковна,Словарь русских личных имен Петровского
Ж,Галина,,,,"-ы, ж.",Галины,,,,,Словарь русских личных имен Петровского
Ж,Галла,,,Стар. редк.,"-ы, ж. Стар. редк.",Галлы,,,,,Словарь русских личных имен Петровского
Ж,Галя,Гали,,,"-и, ж. и реже Гали, нескл.",Гали,,,,,Словарь русских личных имен Петровского
М,Гамалиил,,,Стар. редк.,"-а, м. Стар. редк.",Гамалиила,Гамалиилов,Гамалиилова,Гамалиилович,Гамалииловна,Словарь русских личных имен Петровского
М,Гарасим,,Герасим,Разг.,"-а, м. Разг. к Герасим (см.).",Гарасима,Гарасимов,Гарасимова,Герасимович,Герасимовна,(для варианта целевого современного отчества)
М,Гарасим,,Герасим,Разг.,"-а, м. Разг. к Герасим (см.).",Гарасима,Гарасимов,Гарасимова,Гарасимович,Гарасимовна,Словарь русских личных имен Петровского
М,Гарон,,Герон,Разг.,"-а, м. Разг. к Герон (см.).",Гарона,Гаронов,Гаронова,Геронович,Героновна,(для варианта целевого современного отчества)
М,Гарон,,Герон,Разг.,"-а, м. Разг. к Герон (см.).",Гарона,Гаронов,Гаронова,Гаронович,Гароновна,Словарь русских личных имен Петровского
М,Гаспар,,,Стар. редк.,"-а, м. Стар. редк.",Гаспара,Гаспаров,Гаспарова,Гаспарович,Гаспаровна,Словарь русских личных имен Петровского
Ж,Гая,Гаия,,,"-и, ж.; стар. Гаия, -и.",Гаи,,,,,Словарь русских личных имен Петровского
М,Гаян,Гаиан,,,"-а, м.; стар. Гаиан, -а.",Гаяна,Гаянов,Гаянова,Гаянович,Гаяновна,Словарь русских личных имен Петровского
Ж,Гаяна,,Гаяния,Разг.,"-ы, ж. Разг. к Гаяния (см.).",Гаяны,,,,,Словарь русских личных имен Петровского
Ж,Гаяния,Гаяна,,,"-и, ж.; разг. Гаяна, -ы; стар. Гаиания, -и.",Гаянии,,,,,Словарь русских личных имен Петровского
М,Гвидон,,,Заимств.,"-а, м. Заимств.",Гвидона,Гвидонов,Гвидонова,Гвидонович,Гвидоновна,Словарь русских личных имен Петровского
М,Гегал,,,Стар. редк.,"-а, м. Стар. редк.",Гегала,Гегалов,Гегалова,Гегалович,Гегаловна,Словарь русских личных имен Петровского
М,Гедеон,,,Стар. редк.,"-а, м. Стар. редк.",Гедеона,Гедеонов,Гедеонова,Гедеонович,Гедеоновна,Словарь русских личных имен Петровского
М,Гектор,,,Заимств.,"-а, м. Заимств.",Гектора,Гекторов,Гекторова,Гекторович,Гекторовна,Словарь русских личных имен Петровского
М,Геласий,,,,,,Геласьев,Геласьева,Геласиевич,Геласиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Геласий,,,Стар. редк.,"-я, м. Стар. редк.; разг. Галасий, -я.",Геласия,Геласиев,Геласиева,Геласиевич,Геласиевна,Словарь русских личных имен Петровского
Ж,Геласия,,,Стар. редк.,"-и, ж. Стар. редк.",Геласии,,,,,Словарь русских личных имен Петровского
Ж,Гелиана,,,,"-ы, ж.",Гелианы,,,,,Словарь русских личных имен Петровского
М,Гелий,,,,,,Гельев,Гельева,Гелиевич,Гелиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Гелий,Елий,,,"-я, м., стар. Елий, -я.",Гелия,Гелиев,Гелиева,Гелиевич,Гелиевна,Словарь русских личных имен Петровского
Ж,Гелия,,,,"-и, ж.",Гелии,,,,,Словарь русских личных имен Петровского
М,Гемелл,,,Стар. редк.,"-а, м. Стар. редк.",Гемелла,Гемеллов,Гемеллова,Гемеллович,Гемелловна,Словарь русских личных имен Петровского
Ж,Гемелла,,,Стар. редк.,"-ы, ж. Стар. редк.",Гемеллы,,,,,Словарь русских личных имен Петровского
М,Гемин,,,Стар. редк.,"-а, м. Стар. редк.",Гемина,Геминов,Геминова,Геминович,Геминовна,Словарь русских личных имен Петровского
Ж,Гемина,,,Стар. редк.,"-ы, ж. Стар. редк.",Гемины,,,,,Словарь русских личных имен Петровского
М,Гений,,,,,,Геньев,Геньева,Гениевич,Гениевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Гений,,,Нов.,"-я, м. Нов.",Гения,Гениев,Гениева,Гениевич,Гениевна,Словарь русских личных имен Петровского
Ж,Гения,,,Нов.,"-и, ж. Нов.",Гении,,,,,Словарь русских личных имен Петровского
М,Геннадий,,,,,,Геннадьев,Геннадьева,Геннадиевич,Геннадиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Геннадий,,,,"-я, м.",Геннадия,Геннадиев,Геннадиева,Геннадиевич,Геннадиевна,Словарь русских личных имен Петровского
Ж,Геннадия,,,,"-и, ж.",Геннадии,,,,,Словарь русских личных имен Петровского
Ж,Геновефа,,,,"-ы, ж.",Геновефы,,,,,Словарь русских личных имен Петровского
Ж,Генриетта,,,Заимств.,"-ы, ж. Заимств.",Генриетты,,,,,Словарь русских личных имен Петровского
М,Генрих,,,Заимств.,"-а, м. Заимств.",Генриха,Генрихов,Генрихова,Генрихович,Генриховна,Словарь русских личных имен Петровского
М,Георгий,Егор,,,"-я, м.; народн. Егор, -а; разг. Егорий, -я.",Георгия,Георгиев,Георгиева,Георгиевич,Георгиевна,Словарь русских личных имен Петровского
Ж,Георгина,,,,"-ы, ж.",Георгины,,,,,Словарь русских личных имен Петровского
Ж,Гера,,,Заимств.,"-ы, ж. Заимств.",Геры,,,,,Словарь русских личных имен Петровского
М,Геракл,Еракл,,,"-а, м.; стар. Еракл, -а.",Геракла,Гераклов,Гераклова,Гераклович,Геракловна,Словарь русских личных имен Петровского
М,Гераклид,,,Стар. редк.,"-а, м. Стар. редк.",Гераклида,Гераклидов,Гераклидова,Гераклидович,Гераклидовна,Словарь русских личных имен Петровского
М,Герасим,Гарасим,,,"-а, м.; разг. Гарасим, -а.",Герасима,Герасимов,Герасимова,Герасимович,Герасимовна,Словарь русских личных имен Петровского
М,Гервасий,,,,,,Гервасьев,Гервасьева,Гервасиевич,Гервасиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Гервасий,,,Стар. редк.,"-я, м. Стар. редк.",Гервасия,Гервасиев,Гервасиева,Гервасиевич,Гервасиевна,Словарь русских личных имен Петровского
М,Герман,Германик,,Разг.,"-а, м. Разг. к Германик (см.).",Германа,Германов,Германова,Германович,Германовна,Словарь русских личных имен Петровского
М,Герман,,,,"-а, м.",Германа,Германов,Германова,Германович,Германовна,Словарь русских личных имен Петровского
Ж,Германа,,,,"-ы, ж.",Германы,,,,,Словарь русских личных имен Петровского
М,Германик,Герман,,Стар. редк.,"-а, м. Стар. редк.; разг. Герман 2, -а.",Германика,Германиков,Германикова,Германикович,Германиковна,Словарь русских личных имен Петровского
М,Гермес,,,Стар. редк.,"-а, м. Стар. редк.",Гермеса,Гермесов,Гермесова,Гермесович,Гермесовна,Словарь русских личных имен Петровского
М,Герминий,,,,,,Герминьев,Герминьева,Герминиевич,Герминиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Герминий,,,Стар. редк.,"-я, м. Стар. редк.",Герминия,Герминиев,Герминиева,Герминиевич,Герминиевна,Словарь русских личных имен Петровского
М,Гермоген,,,,"-а, м.",Гермогена,Гермогенов,Гермогенова,Гермогенович,Гермогеновна,Словарь русских личных имен Петровского
М,Гермократ,Ермократ,,Редк.,"-а, м. Редк.; стар. Ермократ, -а.",Гермократа,Гермократов,Гермократова,Гермократович,Гермократовна,Словарь русских личных имен Петровского
М,Герон,Гарон,,,"-а, м.; разг. Гарон, -а.",Герона,Геронов,Геронова,Геронович,Героновна,Словарь русских личных имен Петровского
М,Геронтий,,,,,,Геронтьев,Геронтьева,Геронтиевич,Геронтиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Геронтий,,,,"-я, м.",Геронтия,Геронтиев,Геронтиева,Геронтиевич,Геронтиевна,Словарь русских личных имен Петровского
Ж,Герта,,Гертруда,Разг.,"-ы, ж. Разг. к Гертруда 1 (см.).",Герты,,,,,Словарь русских личных имен Петровского
Ж,Гертруда,Герта,,Заимств.,"-ы, ж. Заимств.; разг. Герта, -ы.",Гертруды,,,,,Словарь русских личных имен Петровского
Ж,Гея,,,Заимств.,"-и, ж. Заимств.",Геи,,,,,Словарь русских личных имен Петровского
М,Гиацинт,,,,"-а, м.",Гиацинта,Гиацинтов,Гиацинтова,Гиацинтович,Гиацинтовна,Словарь русских личных имен Петровского
М,Гигант,,Гигантий,Разг.,"-а, м. Разг. к Гигантий (см.).",Гиганта,Гигантов,Гигантова,Гигантиевич,Гигантиевна,(для варианта целевого современного отчества)
М,Гигант,,Гигантий,Разг.,"-а, м. Разг. к Гигантий (см.).",Гиганта,Гигантов,Гигантова,Гигантович,Гигантовна,Словарь русских личных имен Петровского
М,Гигантий,,,,,,Гигантьев,Гигантьева,Гигантиевич,Гигантиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Гигантий,,,Стар. редк.,"-я, м. Стар. редк.; разг. Гигант, -а.",Гигантия,Гигантиев,Гигантиева,Гигантиевич,Гигантиевна,Словарь русских личных имен Петровского
М,Гилар,,Гиларий,Разг.,"-а, м. Разг. к Гиларий (см.).",Гилара,Гиларов,Гиларова,Гилариевич,Гилариевна,(для варианта целевого современного отчества)
М,Гилар,,Гиларий,Разг.,"-а, м. Разг. к Гиларий (см.).",Гилара,Гиларов,Гиларова,Гиларович,Гиларовна,Словарь русских личных имен Петровского
М,Гилар,,,Стар. редк.,"-а, м. Стар. редк.",Гилара,Гиларов,Гиларова,Гиларович,Гиларовна,Словарь русских личных имен Петровского
М,Гиларий,,,,,,Гиларьев,Гиларьева,Гилариевич,Гилариевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Гиларий,Гилар,,,"-я, м.; разг. Гилар 2, -а.",Гилария,Гилариев,Гилариева,Гилариевич,Гилариевна,Словарь русских личных имен Петровского
Ж,Глафира,,,,"-ы, ж.",Глафиры,,,,,Словарь русских личных имен Петровского
М,Глеб,,,,"-а, м.",Глеба,Глебов,Глебова,Глебович,Глебовна,Словарь русских личных имен Петровского
М,Гликер,,Гликерий,Разг.,"-а, м. Разг. к Гликерий (см.).",Гликера,Гликеров,Гликерова,Гликериевич,Гликериевна,(для варианта целевого современного отчества)
М,Гликер,,Гликерий,Разг.,"-а, м. Разг. к Гликерий (см.).",Гликера,Гликеров,Гликерова,Гликерович,Гликеровна,Словарь русских личных имен Петровского
Ж,Гликера,,Гликерия,Разг.,"-ы, ж. Разг. к Гликерия (см.).",Гликеры,,,,,Словарь русских личных имен Петровского
М,Гликерий,,,,,,Гликерьев,Гликерьева,Гликериевич,Гликериевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Гликерий,Гликер,,,"-я, м.; разг. Гликер, -а.",Гликерия,Гликериев,Гликериева,Гликериевич,Гликериевна,Словарь русских личных имен Петровского
Ж,Гликерия,Лукерья,,,"-и, ж.; народн. Лукерья, -и; разг. Гликера, -ы; прост. Глерия, -и.",Гликерии,,,,,Словарь русских личных имен Петровского
Ж,Глориоза,,,Стар. редк.,"-ы, ж. Стар. редк.",Глориозы,,,,,Словарь русских личных имен Петровского
Ж,Глория,,,Заимств.,"-и, ж. Заимств.",Глории,,,,,Словарь русских личных имен Петровского
М,Гоброн,,,Стар. редк.,"-а, м. Стар. редк.",Гоброна,Гобронов,Гобронова,Гобронович,Гоброновна,Словарь русских личных имен Петровского
Ж,Голиндуха,,,Стар. редк.,"-и, ж. Стар. редк.",Голиндухи,,,,,Словарь русских личных имен Петровского
Ж,Гонеста,,,Стар. редк.,"-ы, ж. Стар. редк.",Гонесты,,,,,Словарь русских личных имен Петровского
М,Гонор,,,Стар. редк.,"-а, м. Стар. редк.",Гонора,Гоноров,Гонорова,Гонорович,Гоноровна,Словарь русских личных имен Петровского
М,Гонорат,,,Стар. редк.,"-а, м. Стар. редк.",Гонората,Гоноратов,Гоноратова,Гоноратович,Гоноратовна,Словарь русских личных имен Петровского
Ж,Гонората,,,Стар. редк.,"-ы, ж. Стар. редк.",Гонораты,,,,,Словарь русских личных имен Петровского
М,Гонорий,,,,,,Гонорьев,Гонорьева,Гонориевич,Гонориевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Гонорий,,,Стар. редк.,"-я, м. Стар. редк.",Гонория,Гонориев,Гонориева,Гонориевич,Гонориевна,Словарь русских личных имен Петровского
М,Горазд,,,Ст.-русск. редк.,"-а, м. Ст.-русск. редк.",Горазда,Гораздов,Гораздова,Гораздович,Гораздовна,Словарь русских личных имен Петровского
М,Гораций,,,Заимств.,"-я, м. Заимств.",Горация,Горациев,Горациева,Горациевич,Горациевна,Словарь русских личных имен Петровского
М,Горгий,,,,"-я, м.",Горгия,Горгиев,Горгиева,Горгиевич,Горгиевна,Словарь русских личных имен Петровского
М,Горгоний,,,,,,Горгоньев,Горгоньева,Горгониевич,Горгониевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Горгоний,,,Стар. редк.,"-я, м. Стар. редк.",Горгония,Горгониев,Горгониева,Горгониевич,Горгониевна,Словарь русских личных имен Петровского
Ж,Горгония,,,Стар. редк.,"-и, ж. Стар. редк.",Горгонии,,,,,Словарь русских личных имен Петровского
М,Гордей,Гордий,,,"-я, м.; стар. Гордий, -я.",Гордея,Гордеев,Гордеева,Гордеевич,Гордеевна,Словарь русских личных имен Петровского
М,Гордиан,,,Стар. редк.,"-а, м. Стар. редк.",Гордиана,Гордианов,Гордианова,Гордианович,Гордиановна,Словарь русских личных имен Петровского
М,Гордий,,Гордей,Стар. форма имени,"-я, м. Стар. форма имени Гордей (см.).",Гордия,Гордиев,Гордиева,Гордеевич,Гордеевна,(для варианта целевого современного отчества)
М,Гордий,,Гордей,Стар. форма имени,"-я, м. Стар. форма имени Гордей (см.).",Гордия,Гордиев,Гордиева,Гордиевич,Гордиевна,Словарь русских личных имен Петровского
М,Горислав,,,Слав.,"-а, м. Слав.",Горислава,Гориславов,Гориславова,Гориславович,Гориславовна,Словарь русских личных имен Петровского
Ж,Горислава,,,Слав.,"-ы, ж. Слав.",Гориславы,,,,,Словарь русских личных имен Петровского
М,Гортенз,,,Стар. редк.,"-а, м. Стар. редк.",Гортенза,Гортензов,Гортензова,Гортензович,Гортензовна,Словарь русских личных имен Петровского
Ж,Гортензия,,,Заимств.,"-и, ж. Заимств.",Гортензии,,,,,Словарь русских личных имен Петровского
М,Гостомысл,,,Ст.-русск. редк.,"-а, м. Ст.-русск. редк.",Гостомысла,Гостомыслов,Гостомыслова,Гостомы́Слович,Гостомы́Словна,Словарь русских личных имен Петровского
М,Градислав,,,Слав. редк.,"-а, м. Слав. редк.",Градислава,Градиславов,Градиславова,Градиславович,Градиславовна,Словарь русских личных имен Петровского
Ж,Градислава,,,Слав. редк.,"-ы, ж. Слав. редк.",Градиславы,,,,,Словарь русских личных имен Петровского
М,Гран,,Граний,Стар. форма имени,"-а, м. Стар. форма имени Граний (см.).",Грана,Гранов,Гранова,Граниевич,Граниевна,(для варианта целевого современного отчества)
М,Гран,,Граний,Стар. форма имени,"-а, м. Стар. форма имени Граний (см.).",Грана,Гранов,Гранова,Гранович,Грановна,Словарь русских личных имен Петровского
М,Граний,,,,,,Граньев,Граньева,Граниевич,Граниевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Граний,Гран,,,"-я, м.; стар. Гран, -а.",Грания,Граниев,Граниева,Граниевич,Граниевна,Словарь русских личных имен Петровского
М,Гремислав,,,Слав. редк.,"-а, м. Слав. редк.",Гремислава,Гремиславов,Гремиславова,Гремиславович,Гремиславовна,Словарь русских личных имен Петровского
М,Григорий,,,,"-я, м.",Григория,Григорьев,Григорьева,Григорьевич,Григорьевна,Словарь русских личных имен Петровского
Ж,Григория,,,,"-и, ж.",Григории,,,,,Словарь русских личных имен Петровского
М,Гурий,,,,,,Гурьев,Гурьева,Гуриевич,Гуриевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Гурий,Гурьян,,,"-я, м.; разг. Гурьян, -а; прост. Гурей, -я.",Гурия,Гуриев,Гуриева,Гуриевич,Гуриевна,Словарь русских личных имен Петровского
М,Гурьян,,Гурий,Разг.,"-а, м. Разг. к Гурий (см.).",Гурьяна,Гурьянов,Гурьянова,Гуриевич,Гуриевна,(для варианта целевого современного отчества)
М,Гурьян,,Гурий,Разг.,"-а, м. Разг. к Гурий (см.).",Гурьяна,Гурьянов,Гурьянова,Гурьянович,Гурьяновна,Словарь русских личных имен Петровского
Ж,Густа,,Августа,Разг.,"-ы, ж. Разг. к Августа 1 (см.).",Густы,,,,,Словарь русских личных имен Петровского
Ж,Густа,,Августина,Разг.,"-ы, ж. Разг. к Августина 2 (см.).",Густы,,,,,Словарь русских личных имен Петровского
М,Давид,Давыд,,,"-а, м.; разг. Давыд, -а.",Давида,Давидов,Давидова,Давидович,Давидовна,Словарь русских личных имен Петровского
М,Давыд,,Давид,Разг.,"-а, м. Разг. к Давид (см.).",Давыда,Давыдов,Давыдова,Давидович,Давидовна,(для варианта целевого современного отчества)
М,Давыд,,Давид,Разг.,"-а, м. Разг. к Давид (см.).",Давыда,Давыдов,Давыдова,Давыдович,Давыдовна,Словарь русских личных имен Петровского
М,Дагар,,,Стар. редк.,"-а, м. Стар. редк.",Дагара,Дагаров,Дагарова,Дагарович,Дагаровна,Словарь русских личных имен Петровского
М,Далмат,,,Стар. редк.,"-а, м. Стар. редк.",Далмата,Далматов,Далматова,Далматович,Далматовна,Словарь русских личных имен Петровского
М,Далматий,,,,,,Далматьев,Далматьева,Далматиевич,Далматиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Далматий,,,Стар. редк.,"-я, м. Стар. редк.",Далматия,Далматиев,Далматиева,Далматиевич,Далматиевна,Словарь русских личных имен Петровского
М,Дамиан,,Демьян,Стар. форма имени,"-а, м. Стар. форма имени Демьян (см.).",Дамиана,Дамианов,Дамианова,Демьянович,Демьяновна,(для варианта целевого современного отчества)
М,Дамиан,,Демьян,Стар. форма имени,"-а, м. Стар. форма имени Демьян (см.).",Дамиана,Дамианов,Дамианова,Дамианович,Дамиановна,Словарь русских личных имен Петровского
М,Дан,,,Стар. редк.,"-а, м. Стар. редк.",Дана,Данов,Данова,Данович,Дановна,Словарь русских личных имен Петровского
М,Данакт,,,Стар. редк.,"-а, м. Стар. редк.",Данакта,Данактов,Данактова,Данактович,Данактовна,Словарь русских личных имен Петровского
Ж,Даная,,,Заимств.,"-и, ж. Заимств.",Данаи,,,,,Словарь русских личных имен Петровского
М,Даниил,Данила,,,"-а, м.; разг. Данил, -а и Данила, -ы; стар. разг. Данило, -ы.",Даниила,Данилов,Данилова,Даниилович,Данииловна,Словарь русских личных имен Петровского
Ж,Даниила,,,,"-ы, ж.",Даниилы,,,,,Словарь русских личных имен Петровского
М,Данил,,Даниил,Разг.,"-а, м. Разг. к Даниил (см.).",Данилы,Данилов,Данилова,Даниилович,Данииловна,(для варианта целевого современного отчества)
М,Данил,,Даниил,Разг.,"-а, м. Разг. к Даниил (см.).",Данилы,Данилов,Данилова,Данилович,Даниловна,Словарь русских личных имен Петровского
М,Данила,,Даниил,Разг.,"-ы, м. Разг. к Даниил (см.).",Данилы,Данилин,Данилина,Даниилович,Данииловна,(для варианта целевого современного отчества)
