name,np_type,guberniya,uyezd,volost,short_location,full_location,familio_url
Ермолиха,д.,Костромская,Макарьевский,Завражная,д. Ермолиха,"д. Ермолиха, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/fc181431-fdaa-4c76-95a4-8ca2d7f30c36
Сорочково,д.,Костромская,Макарьевский,Завражная,д. Сорочково,"д. Сорочково, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/22e5b83e-cb87-4185-864c-5dd0fe9ca6ad
Дворищи,д.,Костромская,Юрьевецкий,Махловская,д. Дворищи,"д. Дворищи, Махловская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/c1e018a6-f3fc-484f-82e5-9cf7a2ebb896
Демидовка,д.,Костромская,Юрьевецкий,Мордвиновская,д. Демидовка,"д. Демидовка, Мордвиновская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/00299642-58c9-45c9-8d8e-19129bad0ce5
Ульяновка,д.,Костромская,Макарьевский,Завражная,д. Ульяновка,"д. Ульяновка, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/29b0f692-ffff-4034-9f07-083d39704cf8
Зименки,д.,Костромская,Макарьевский,Завражная,д. Зименки,"д. Зименки, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/bd6b3d14-609b-4efb-b8cd-08109fd26c4e
Лодзь,г.,Петровская,Лодзинский,,г. Лодзь,"г. Лодзь, Лодзинский уезд, Петровская губерния",https://familio.org/settlements/ddee05c0-3cc7-4989-be65-c5565268fc20
Еронино,д.,Костромская,Юрьевецкий,Порздневская,д. Еронино,"д. Еронино, Порздневская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/8490973c-a96c-4f1e-a4fb-707319ba6e78
Булдачиха,д.,Костромская,Макарьевский,Завражная,д. Булдачиха,"д. Булдачиха, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/1556e7c0-ba56-4e19-b090-6565e17f1437
Юрьевец,г.,Костромская,,,г. Юрьевец,"г. Юрьевец, Костромская губерния",https://familio.org/settlements/267eef60-6d69-4a5d-ae4c-12de704b23ca
Хороброво,с.,Костромская,Макарьевский,Чернышевская,с. Хороброво,"с. Хороброво, Чернышевская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/bd0e373e-9a2d-44b4-9d5f-4dec1dd34b8d
Токарево,д.,Костромская,Макарьевский,Завражная,д. Токарево,"д. Токарево, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/9643c18b-78b3-4989-969a-f1ecbcf9d414
Слобода,д.,Костромская,Макарьевский,Завражная,д. Слобода,"д. Слобода, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/88d4faff-b6fc-492e-b476-d39077ecb257
Черново,д.,Костромская,Макарьевский,Завражная,д. Черново,"д. Черново, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/e24abd74-c8f3-4b6c-b7cb-b6f67bb3c989
Коробейниково,д.,Костромская,Макарьевский,Завражная,д. Коробейниково,"д. Коробейниково, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/6b918ae6-51d8-46f8-a393-364e40d87345
Прозорово,д.,Костромская,Макарьевский,Завражная,д. Прозорово,"д. Прозорово, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/22a45c6c-0e45-4838-9ada-8a364ef9a112
Потемкино,д.,Костромская,Юрьевецкий,Мордвиновская,д. Потемкино,"д. Потемкино, Мордвиновская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/c043a1db-08d3-4cb5-942e-89c9aed84fa5
Кальтино,д.,Костромская,Макарьевский,Завражная,д. Кальтино,"д. Кальтино, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/99bd24f2-a000-4b24-a430-b9e1d0dc7b44
Клоково,д.,Костромская,Макарьевский,Завражная,д. Клоково,"д. Клоково, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/ba17ee6c-9ee9-4d4e-b9af-eb239a2a5b7b
Крупышево,д.,Костромская,Макарьевский,Завражная,д. Крупышево,"д. Крупышево, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/6ea81035-ba2e-4f86-97f1-480af8ae6620
Половинкино,д.,Костромская,Макарьевский,Завражная,д. Половинкино,"д. Половинкино, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/b98a8c28-da81-4dbb-ae5a-d687e156d0eb
Ковригино,д.,Костромская,Макарьевский,Завражная,д. Ковригино,"д. Ковригино, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/3ef283ac-8a78-4dfe-b6fa-6859aed34a03
Лух,г.,Костромская,Юрьевецкий,,г. Лух,"г. Лух, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/12cf147e-83f4-4c9e-a0d7-0e6adfc91473
Бердиха,д.,Костромская,Юрьевецкий,Мордвиновская,д. Бердиха,"д. Бердиха, Мордвиновская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/5524a8b8-3ba3-44e4-bb11-a598c2294bf1
Бенькино,д.,Костромская,Юрьевецкий,Мордвиновская,д. Бенькино,"д. Бенькино, Мордвиновская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/043038e2-f979-450f-9a98-ed9732dae9db
Черемисково,д.,Костромская,Макарьевский,Завражная,д. Черемисково,"д. Черемисково, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/2216f61d-66bf-417c-bddd-f3d3f95e226e
Ивановское,с.,Костромская,Макарьевский,Чернышевская,с. Ивановское,"с. Ивановское, Чернышевская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/ae158075-4eed-4daf-8306-7f8c829c5723
Котово,д.,Костромская,Макарьевский,Завражная,д. Котово,"д. Котово, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/ce93a0b8-fdb0-484d-9762-9ab2ee570ac2
Ковалево,д.,Костромская,Макарьевский,Завражная,д. Ковалево,"д. Ковалево, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/cfe9b185-51a9-478c-9f1f-d7a1149cf984
Ступниково,д.,Костромская,Макарьевский,Завражная,д. Ступниково,"д. Ступниково, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/ba938abd-6cb9-486d-a404-afeffaacc230
Романиха,д.,Костромская,Макарьевский,Завражная,д. Романиха,"д. Романиха, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/3a740fe3-5995-473f-8b6f-a816a82352ee
Калиновская,д.,Костромская,Макарьевский,Завражная,д. Калиновская,"д. Калиновская, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/8918dd50-5d53-41f0-b967-9520bf437ad1
Слуда,д.,Костромская,Макарьевский,Завражная,д. Слуда,"д. Слуда, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/316dab19-5413-4957-9802-17e559d017bf
Жары,с.,Костромская,Макарьевский,Завражная,с. Жары,"с. Жары, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/01a788b3-bac1-4e8c-97c5-ac9ec054f8a2
Макарьев,г.,Костромская,Макарьевский,,г. Макарьев,"г. Макарьев, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/2944cf73-7f96-43b9-b374-e92f9b494059
Гобино,д.,Костромская,Макарьевский,Чернышевская,д. Гобино,"д. Гобино, Чернышевская волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/43b0265b-aa62-4145-a75f-cbfaa3f9dea8
Котело,с.,Костромская,Галический,Котельская,с. Котело,"с. Котело, Котельская волость, Галический уезд, Костромская губерния",https://familio.org/settlements/b6fa5080-d2c3-4404-9312-b64bee5a4d04
Федорово,с.,Костромская,Костромской,Белоречанская,с. Федорово,"с. Федорово, Белоречанская волость, Костромской уезд, Костромская губерния",https://familio.org/settlements/58fcff4f-f7af-49d1-8437-7ad749366ab1
Торино,с.,Костромская,Кологривский,Погощенская,с. Торино,"с. Торино, Погощенская волость, Кологривский уезд, Костромская губерния",https://familio.org/settlements/39710b90-1fa6-43ce-93e5-d675d99fce24
Кострома,г.,Костромская,Костромской,,г. Кострома,"г. Кострома, Костромской уезд, Костромская губерния",https://familio.org/settlements/6c3600e4-852c-4c78-a015-0331368cf99a
Кинешма,г.,Костромская,,,г. Кинешма,"г. Кинешма, Костромская губерния",https://familio.org/settlements/74439ccd-9fe8-4cab-ae32-7678e975498a
Аксениха,д.,Костромская,Юрьевецкий,Мордвиновская,д. Аксениха,"д. Аксениха, Мордвиновская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/e38f4745-2182-4b13-824b-d69051b623e9
Ожгинец,д.,Костромская,Макарьевский,Завражная,д. Ожгинец,"д. Ожгинец, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/b1504349-a75f-4905-a22a-c49ff70bd9b5
Архангельское,с.,Костромская,Юрьевецкий,Архангельская,с. Архангельское,"с. Архангельское, Архангельская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/8843b337-b3fb-47b7-973c-1478ac8fe580
Соболево,с.,Костромская,Юрьевецкий,Соболевская,с. Соболево,"с. Соболево, Соболевская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/2e9c590b-fd9f-4e80-b36e-5b42f004ad97
Зименки малые,д.,Костромская,Макарьевский,Завражная,д. Зименки малые,"д. Зименки малые, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/653a39c6-6d4d-43fb-8bc0-a5327b91da57
Лобаны,д.,Костромская,Юрьевецкий,Мордвиновская,д. Лобаны,"д. Лобаны, Мордвиновская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/4bbbf687-4a15-4c4c-9a83-0fa7e5238b85
Окуловская,д.,Костромская,Макарьевский,Завражная,д. Окуловская,"д. Окуловская, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/37a9e02e-c249-45ab-8c3f-e80e4668f708
Михальцы,д.,Костромская,Макарьевский,Завражная,д. Михальцы,"д. Михальцы, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/f4eaad8c-8759-4893-befd-004ec9cd8a4a
Чигари,д.,Костромская,Макарьевский,Завражная,д. Чигари,"д. Чигари, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/cbc1e328-abb5-438b-8f18-554edab20890
Василево,д.,Костромская,Макарьевский,Завражная,д. Василево,"д. Василево, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/c0692c20-ac77-4787-80b0-161297c438bb
